32,Five Horses Tavern,"['535 Columbus Ave', 'Boston, MA 02118']",QFEEm3joTWU5ZF4suCuRPQ,4.0,457,"{'latitude': 42.3417445441842, 'longitude': -71.0805253552637}",$$
33,Banners Kitchen & Tap,"['82 Causeway St', 'The Hub On Causeway', 'Boston, MA 02114']",3edYNqlyo-x9ygEuw-SmOw,3.5,89,"{'latitude': 42.36556, 'longitude': -71.061494}",$$
34,Joe's On Newbury,"['181 Newbury St', 'Boston, MA 02116']",smiGOZuyboXfc8LyC2jXpg,3.5,994,"{'latitude': 42.350469, 'longitude': -71.079786}",$$
35,Lincoln Tavern and Restaurant,"['425 W Broadway', 'Boston, MA 02127']",rdpY_LeMnDnfeK47eDnDOw,4.0,883,"{'latitude': 42.336323, 'longitude': -71.0476}",$$
36,Jm Curley,"['21 Temple Pl', 'Boston, MA 02111']",09pqlAR4TSjQXNTiB4cXjw,3.5,801,"{'latitude': 42.3552425760626, 'longitude': -71.0623372441206}",$$
37,Coppersmith,"['40 West 3rd St', 'Boston, MA 02127']",DXho4NyanHYoI84uev9Omw,3.5,529,"{'latitude': 42.342445, 'longitude': -71.053848}",$$
38,Delux Café,"['100 Chandler St', 'Boston, MA 02116']",zZ7roMv_c8R4slTMPPdkng,4.0,318,"{'latitude': 42.34628, 'longitude': -71.07289}",$$
39,The Tip Tap Room,"['138 Cambridge St', 'Boston, MA 02114']",MKIngNGj0_cBKV4leGuCjw,4.0,721,"{'latitude': 42.36105, 'longitude': -71.063986}",$$
40,Brick & Mortar,"['567 Massachusetts Ave', 'Cambridge, MA 02139']",n-5xA19txqjxmRdKB3A6bg,4.0,263,"{'latitude': 42.3648518001961, 'longitude': -71.1024431306885}",$$
41,Stats Bar & Grille,"['77 Dorchester St', 'Boston, MA 02127']",pzCrO7RatLAB9ThsOSRu9A,3.5,137,"{'latitude': 42.33583, 'longitude': -71.04535}",$$
42,Cask'n Flagon,"['62 Brookline Ave', 'Boston, MA 02215']",bsGuOhibpJc-MHNXj9kiUg,3.5,608,"{'latitude': 42.347299978137, 'longitude': -71.0983470082283}",$$
43,JJ Foley's Bar & Grille,"['21 Kingston St', 'Boston, MA 02111']",8M0tAAyPMfsvHNWWUQ237Q,3.5,178,"{'latitude': 42.35384, 'longitude': -71.0592099}",$
44,The Beehive,"['541 Tremont St', 'Boston, MA 02116']",367aDatN4B0UNT4hNPMqPQ,3.5,2195,"{'latitude': 42.344493, 'longitude': -71.071497}",$$
45,Sidebar Boston,"['14 Bromfield St', 'Boston, MA 02108']",UAtX7xmIfdd1W2Pebf6NWg,3.5,240,"{'latitude': 42.3563686, 'longitude': -71.0598171}",$
46,Green Street,"['280 Green St', 'Cambridge, MA 02139']",JdWplSS3RfBFamm4FshtcA,4.0,694,"{'latitude': 42.36452, 'longitude': -71.10419}",$$
47,The Druid,"['1357 Cambridge St', 'Cambridge, MA 02139']",f4zeVunnSBiO_yGhXgcahA,4.5,565,"{'latitude': 42.37382, 'longitude': -71.10021}",$$
48,Eddie C's Bar,"['34 Maverick Sq', 'Boston, MA 02128']",FK2GaRPMyrA5oxZYToqTsw,4.0,35,"{'latitude': 42.36996, 'longitude': -71.03935}",$
49,The Gaff,"['467 Moody St', 'Waltham, MA 02453']",ZT_xafbgHg3Zj0emqYw5Jg,4.5,320,"{'latitude': 42.3681742697954, 'longitude': -71.2374946475029}",$$
0,Sullivan's Pub,"['85 Main St', 'Charlestown, MA 02129']",HkGEmanL0nyQ8llX4t_z3w,4.5,34,"{'latitude': 42.37398, 'longitude': -71.06293}",$
1,The Washington Square Tavern,"['714 Washington St', 'Brookline, MA 02445']",_vsgjhqs356JqeAPsP6XOQ,4.0,323,"{'latitude': 42.339123, 'longitude': -71.135212}",$$
2,OAK Long Bar + Kitchen,"['138 St. James Ave', 'Boston, MA 02116']",DZnhcxnSys_emI7ZHd5jYg,3.5,336,"{'latitude': 42.349092, 'longitude': -71.076187}",$$$
3,backbar,"['7 Sanborn Ct', 'Somerville, MA 02143']",V6IKFLo-rJdMRJEbuLLD3g,4.5,382,"{'latitude': 42.3797392845154, 'longitude': -71.0945945978165}",$$
4,Boston Chops South End,"['1375 Washington St', 'Boston, MA 02118']",RDZJY7ls8-2hNkkXFIJg4g,4.0,622,"{'latitude': 42.3415074053928, 'longitude': -71.0696210990184}",$$$
5,Grill 23 & Bar,"['161 Berkeley St', 'Boston, MA 02116']",_98MfEQ67r9-V78gmy8_Pg,4.0,1048,"{'latitude': 42.3494218727725, 'longitude': -71.0720500564835}",$$$$
6,Tony C's Sports Bar & Grill,"['250 Northern Ave', 'Boston, MA 02210']",-bC1fMN5kQgFruzUR8E_RA,2.5,533,"{'latitude': 42.34897, 'longitude': -71.038619}",$$
7,Back Bay Social,"['867 Boylston St', 'Boston, MA 02116']",6cGcl4ZDDxDtfxyc6PKFPQ,3.5,689,"{'latitude': 42.34872, 'longitude': -71.08345}",$$
8,The Publick House,"['1648 Beacon St', 'Brookline, MA 02445']",rK-fgI2_-x0T4lxwF9L4Ww,4.0,1194,"{'latitude': 42.3394130267999, 'longitude': -71.1367036548893}",$$
9,Wink & Nod,"['3 Appleton St', 'Boston, MA 02116']",4-Tp4hstdC5XVvO4otGkuA,4.0,450,"{'latitude': 42.3466991630507, 'longitude': -71.0694792474231}",$$$
10,Solas Irish Pub,"['710 Boylston St', 'Boston, MA 02116']",ZepRG9iVXXA-u3gH5C-UKA,3.5,378,"{'latitude': 42.34927, 'longitude': -71.079759}",$$
11,Beantown Pub,"['100 Tremont St', 'Boston, MA 02108']",V8_e5MRjfexH4WFBqjDWCg,3.0,636,"{'latitude': 42.357451481565, 'longitude': -71.060911746876}",$$
12,Barcelona Wine Bar South End,"['525 Tremont St', 'Boston, MA 02116']",mP1EdIafQKMuOm9O4PzAfA,4.5,1130,"{'latitude': 42.3449355147724, 'longitude': -71.0705436362457}",$$
13,Allston Billiards,"['445 Cambridge St', 'Fl 2', 'Boston, MA 02134']",WhOZfqo49chqzdt15iluQA,5.0,6,"{'latitude': 42.35467, 'longitude': -71.13542}",$
14,Dunn-Gaherin’s Food and Spirits,"['344 Elliot St', 'Newton, MA 02464']",BRPrmJoGYtDRwtPl-vh-zQ,4.5,351,"{'latitude': 42.31271, 'longitude': -71.22397}",$$
15,75 Chestnut,"['75 Chestnut St', 'Boston, MA 02108']",qVNYCZi2ofv-oe293JsYkg,4.0,492,"{'latitude': 42.35695, 'longitude': -71.07097}",$$
16,Worden Hall,"['22 W Broadway', 'Boston, MA 02127']",Y7B9tTmHPXgNwu5SRGtgtQ,4.0,348,"{'latitude': 42.3427610900378, 'longitude': -71.0568092748732}",$$
17,Midway Cafe,"['3496 Washington St', 'Jamaica Plain, MA 02130']",K8qPnx9EUWhQ-NkRYw-q7A,4.0,85,"{'latitude': 42.3061329, 'longitude': -71.1075658}",$
18,Area Four,"['500 Technology Sq', 'Cambridge, MA 02139']",WYnXpXym2DMtwchDcbilmg,4.0,939,"{'latitude': 42.363073, 'longitude': -71.0924589}",$$
19,Lulu's Allston,"['421 Cambridge St', 'Boston, MA 02134']",FioFvBhgVPV2dZW3mxjxQQ,4.0,501,"{'latitude': 42.3550647, 'longitude': -71.1341649}",$$
20,Kings Dining & Entertainment - Boston Seaport,"['60 Seaport Blvd', 'Boston, MA 02210']",mmJ2ixPN8NIkEEIM4oHd8g,4.0,202,"{'latitude': 42.3515879, 'longitude': -71.0447779}",$$
21,Porters Bar & Grill,"['173 Portland St', 'Boston, MA 02114']",9VGECwLbj29RljD2WVSzaw,4.0,250,"{'latitude': 42.3642896, 'longitude': -71.061702}",$$
22,Rock Bottom Restaurant & Brewery,"['115 Stuart St', 'Boston, MA 02116']",DZm67Anqn1IQTB9iGvw4Fw,3.0,652,"{'latitude': 42.351279, 'longitude': -71.065284}",$$
23,State Street Provisions,"['255 State St', 'Long Wharf', 'Boston, MA 02109']",-S_m_GBqkGEjABeO0FaxzA,4.0,527,"{'latitude': 42.35944, 'longitude': -71.05113}",$$
24,Moonshine 152,"['152 Dorchester Ave', 'Boston, MA 02127']",1C32E52HmhRC3GNwkX2nZg,4.5,412,"{'latitude': 42.34133, 'longitude': -71.0569151}",$$
25,Warehouse Bar & Grille,"['40 Broad St', 'Boston, MA 02109']",uUMnZINNYCvgdX7jla4PLA,3.5,193,"{'latitude': 42.35850045521629, 'longitude': -71.05399911979244}",$$
26,Dillon's,"['955 Boylston St', 'Boston, MA 02115']",M0fRUDEo9mbnZFXhvshlFw,3.0,474,"{'latitude': 42.3479653914953, 'longitude': -71.0858754834292}",$$
27,Citizen Public House & Oyster Bar,"['1310 Boylston St', 'Boston, MA 02215']",WESPiF4WcuAYb_r6N4SqgQ,3.5,650,"{'latitude': 42.3442, 'longitude': -71.09795}",$$
28,Corner Cafe,"['87 Prince St', 'Boston, MA 02113']",UoAbVHm6A04avk-QIhiWYQ,4.0,67,"{'latitude': 42.3656005859375, 'longitude': -71.0561828613281}",$
29,The Brewer's Fork,"['7 Moulton St', 'Boston, MA 02129']",IJ2MnBlIvib0aU2hbmr0hg,4.5,392,"{'latitude': 42.37671, 'longitude': -71.05649}",$$
30,Franklin Cafe,"['278 Shawmut Ave', 'Boston, MA 02118']",fmw_0vST7GjdibObHWLOuQ,4.0,510,"{'latitude': 42.34291, 'longitude': -71.06895}",$$
31,The Mission Bar & Grill,"['724 Huntington Ave', 'Boston, MA 02120']",nmSiYGAo8YA4oCXjAAgY5g,3.5,337,"{'latitude': 42.33375, 'longitude': -71.10523}",$$
32,Yvonne's,"['2 Winter Pl', 'Boston, MA 02108']",nIS4O-TwLYkA_P1Cu0SfhA,4.0,1023,"{'latitude': 42.355517, 'longitude': -71.0614361}",$$$
33,Flann O'Brien's,"['1619 Tremont St', 'Roxbury Crossing, MA 02120']",DMMIU3G8CngajT2ymBfXxw,3.5,149,"{'latitude': 42.33386, 'longitude': -71.103309}",$$
34,4th Wall Restaurant & Bar,"['228 Tremont St', 'Boston, MA 02116']",X0mY5Pf7Fj_kfWmwDEqwdQ,4.0,95,"{'latitude': 42.35134, 'longitude': -71.06458}",$$
35,Mj O'connor's - Boston,"['27 Columbus Ave', 'Boston, MA 02116']",uMZoY7AyG08rnN-YiQN7fA,3.0,268,"{'latitude': 42.3511597728604, 'longitude': -71.0689188256007}",$$
36,Bar Mezzana,"['360 Harrison Ave', 'Boston, MA 02118']",bZhUufqdpg5qxsDKpIRv5A,4.5,348,"{'latitude': 42.3445756001492, 'longitude': -71.0635791144088}",$$$
37,The Landing,"['One Long Wharf', 'Boston, MA 02110']",g_1zgYJqkm3w9FeKaOYgcA,3.5,134,"{'latitude': 42.359803, 'longitude': -71.050338}",$$
38,Boston Burger - Boston,"['1100 Boylston St', 'Boston, MA 02215']",Dvwj6KWrDZHVQwlSjYS4Iw,4.0,1039,"{'latitude': 42.346827, 'longitude': -71.0884733}",$$
39,Clerys,"['113 Dartmouth St', 'Boston, MA 02116']",t77sOZmbHMB6n3whAQT8MA,3.0,443,"{'latitude': 42.3463019932994, 'longitude': -71.0754544879197}",$$
40,Tavern In The Square,"['120 Beverly St', 'Boston, MA 02114']",IvvgLWS3J6qR4dhYMlDOPA,3.5,274,"{'latitude': 42.36572, 'longitude': -71.060117}",$$
41,The Puddingstone Tavern,"['1592 Tremont St', 'Boston, MA 02120']",nvSIoGq_vt_VTrJBqgF4Gg,4.0,25,"{'latitude': 42.333423614502, 'longitude': -71.1031951904297}",$$
42,The Muddy Charles Pub at MIT,"['142 Memorial Dr', 'Cambridge, MA 02139']",suopVZZ_uvIwCaiDzBWurA,4.0,61,"{'latitude': 42.3591735573941, 'longitude': -71.0880663796093}",$
43,Harry's Bar & Grill,"['1430 Commonwealth Ave', 'Brighton, MA 02135']",E3DdyR6aT7NpLNN39cMTcQ,4.0,327,"{'latitude': 42.3483007201325, 'longitude': -71.1399161799289}",$$
44,The Friendly Toast,"['35 Stanhope St', 'Back Bay, MA 02116']",xlOMKjE4omTgkI1eduWj8A,4.0,1828,"{'latitude': 42.3483479318913, 'longitude': -71.0732730478048}",$$
45,Brendan Behan Pub,"['378 Centre St', 'Jamaica Plain, MA 02130']",4HnToN8bByaPRTTehukvXw,4.0,192,"{'latitude': 42.32196, 'longitude': -71.10927}",$
46,Saus,"['33 Union St', 'Boston, MA 02108']",VFvCFOYtyK9ae4Skxvf3vA,4.0,1257,"{'latitude': 42.3610800091721, 'longitude': -71.0570718850568}",$$
47,Ward 8,"['90 N Washington St', 'Boston, MA 02113']",MkjhW1dVbl3e0AxBL0oXKw,4.0,490,"{'latitude': 42.3653984, 'longitude': -71.0586472}",$$
48,Limelight Stage + Studios,"['204 Tremont St', 'Boston, MA 02116']",YjUrrZIO2O9ls4hiz8nMtA,3.0,230,"{'latitude': 42.3520584799329, 'longitude': -71.0644841194153}",$$
49,Sports Connection Bar & Grill,"['560 Dorchester Ave', 'Boston, MA 02127']",mfVplR2yhNMfTVRkCLh90w,4.0,11,"{'latitude': 42.33047, 'longitude': -71.05672}",$
0,GrandTen Distilling,"['383 Dorchester Ave', 'Boston, MA 02127']",KeC3GrFHGRl-vRT8LIuB3g,5.0,103,"{'latitude': 42.3350791931152, 'longitude': -71.0572052001953}",$$
1,The Point,"['147 Hanover St', 'Boston, MA 02108']",arnbjQR2n0-6-iqdBB_gHw,3.5,206,"{'latitude': 42.36166, 'longitude': -71.05708}",$$
2,RumBa,"['510 Atlantic Ave', 'InterContinental Boston', 'Boston, MA 02210']",f0Av9RuE2a6KSULJsOyZzg,3.5,103,"{'latitude': 42.354093, 'longitude': -71.051903}",$$$
3,Boston Sail Loft,"['80 Atlantic Ave', 'Boston, MA 02110']",aGYdF_fNHDhFCAnXoTCkGA,4.0,852,"{'latitude': 42.362464, 'longitude': -71.050536}",$$
4,Harvard Gardens,"['316 Cambridge St', 'Boston, MA 02114']",IjshhPQwClaUK1v7z_7CpQ,3.5,448,"{'latitude': 42.3609451, 'longitude': -71.0688988}",$$
5,Cornwall's,"['644 Beacon St', 'Boston, MA 02215']",lcJ9Aaf-NC4233RyLdaq0Q,3.5,220,"{'latitude': 42.34938, 'longitude': -71.09589}",$$
6,The Bullpen,"['19-21 Jersey St', 'Boston, MA 02215']",ev0CyR6RXtt-2mjQciY3nw,4.5,17,"{'latitude': 42.34613, 'longitude': -71.09884}",$
7,Earls Kitchen + Bar,"['800 Boylston St', 'Unit 107', 'Boston, MA 02199']",m1ertlgQIxAl74D7nCsvbQ,4.0,912,"{'latitude': 42.34751, 'longitude': -71.08135}",$$
8,Emmet's Irish Pub & Restaurant,"['6 Beacon St', 'Boston, MA 02108']",n6iTeADfaVagZjsoZZ631A,4.0,301,"{'latitude': 42.3582161, 'longitude': -71.0612726}",$$
9,Kelley Square Pub,"['84 Bennington St', 'East Boston, MA 02128']",Tyf0P9SMnc9Q7jXF6JO3cw,4.0,176,"{'latitude': 42.3762017229843, 'longitude': -71.0357013997035}",$$
10,The Junction,"['110 Dorchester St', 'Boston, MA 02127']",VwcuTadW8apQeNvt0IRfKQ,4.0,83,"{'latitude': 42.335090637207, 'longitude': -71.0459518432617}",$$
11,The Bell In Hand,"['45 Union St', 'Boston, MA 02108']",uCJqYrBSITSrJBHyMPznwg,3.5,927,"{'latitude': 42.361215013631, 'longitude': -71.0569801166266}",$$
12,Cathedral Station,"['1222 Washington St', 'Boston, MA 02118']",B5yYnr3KY1RuGy6L1Y8AWw,3.5,51,"{'latitude': 42.3428190425811, 'longitude': -71.066907314402}",$$
13,Trillium Brewing - Fort Point,"['50 Thomson Pl', 'Boston, MA 02210']",Gs4lOF2OuftG6iQl-iOVdQ,4.0,434,"{'latitude': 42.3510247187811, 'longitude': -71.0441803851201}",$$
14,Silvertone,"['69 Bromfield St', 'Boston, MA 02108']",_RWkck7niE8VJG3zLXK2ig,4.0,862,"{'latitude': 42.3571471, 'longitude': -71.0608731}",$$
15,Anchovies,"['433 Columbus Ave', 'Boston, MA 02116']",EYMC8NHn6U-4WpLo54dQtw,4.0,396,"{'latitude': 42.343939, 'longitude': -71.077598}",$$
16,The Sevens Ale House,"['77 Charles St', 'Boston, MA 02114']",OxobKchEqJU2BZi6qc0QBA,3.5,280,"{'latitude': 42.358163031345, 'longitude': -71.070565798128}",$$
17,JJ Foley's Fireside Tavern,"['30 Hyde Park Ave', 'Jamaica Plain, MA 02130']",5Sa00ZJMBNHhCfY9jpCq9w,3.5,39,"{'latitude': 42.2991473, 'longitude': -71.1138975}",$
18,Russell House Tavern,"['14 Jfk St', 'Cambridge, MA 02138']",_9ZZv5V-uM5BXx3P-HslIw,4.0,1974,"{'latitude': 42.373113889528, 'longitude': -71.119494214654}",$$
19,The Lansdowne Pub,"['9 Lansdowne St', 'Boston, MA 02215']",w2uRbCHkWjjHzHnYRsG-EQ,3.5,371,"{'latitude': 42.347327, 'longitude': -71.095093}",$$
20,Renegade's Pub,"['1004 Bennington St', 'Boston, MA 02128']",CJ0DuAPIract7wPMWgsXbg,4.0,96,"{'latitude': 42.38689, 'longitude': -71.0068}",$
21,Yard House,"['126 Brookline Ave', 'Boston-Fenway, MA 02215']",n4XrNsqY2Oi1DB7-2hJzTw,3.5,821,"{'latitude': 42.3453025325918, 'longitude': -71.1003178238538}",$$
22,Olde Magoun's Saloon,"['518 Medford St', 'Somerville, MA 02145']",hkduXqDA7Ssmb-2hqpGMDg,4.0,422,"{'latitude': 42.3966331481934, 'longitude': -71.1041030883789}",$$
23,A4cade by Area Four,"['292 Massachusetts Ave', 'Cambridge, MA 02139']",3UtlwidZDSxtT9ukO79bHA,3.5,190,"{'latitude': 42.362077, 'longitude': -71.098395}",$$
24,The Hill Tavern,"['228 Cambridge St', 'Boston, MA 02114']",aehgQxttnq8h6LEKsu9T7g,3.5,250,"{'latitude': 42.36098, 'longitude': -71.06666}",$$
25,The Black Rose,"['160 State St', 'Boston, MA 02109']",pgb_V3Wk56X5HK1NfLFgcw,3.5,704,"{'latitude': 42.3594142632159, 'longitude': -71.0536410447498}",$$
26,Lucky's Lounge,"['355 Congress St', 'Boston, MA 02210']",Go8U9oJd4CfpO1ik4Z8iKA,3.5,629,"{'latitude': 42.35020568362159, 'longitude': -71.04844640199286}",$$
27,City Works,"['91 Arsenal Yards Blvd', 'Watertown, MA 02472']",7lJXIkwfd-SmYGaQhg2zRg,4.0,64,"{'latitude': 42.362341, 'longitude': -71.157613}",
28,Buff's Pub,"['317 Washington St', 'Newton, MA 02458']",GHZ-EWQrVxKYDtt9ce82Og,4.0,464,"{'latitude': 42.35716, 'longitude': -71.186587}",$$
29,Tavern at the End of the World,"['108 Cambridge St', 'Charlestown, MA 02129']",bqC8cTtPJmSAW6NUVHV9YQ,4.0,216,"{'latitude': 42.38218, 'longitude': -71.07938}",$$
30,The Merchant,"['60 Franklin St', 'Boston, MA 02110']",ZzOD1ur-Hd4n4ts58w_OEg,3.5,348,"{'latitude': 42.355794, 'longitude': -71.058365}",$$
31,Precinct Kitchen + Bar,"['154 Berkeley St', 'Boston, MA 02116']",itOs1rPS8j8sakiwsl1PEw,3.5,252,"{'latitude': 42.3488506867202, 'longitude': -71.0719430973949}",$$
32,The Plough & Stars,"['912 Massachusetts Ave', 'Cambridge, MA 02139']",PKnj9SK8M9aSrWpf0rQtPg,4.0,309,"{'latitude': 42.3683197, 'longitude': -71.1086916}",$$
33,Del Frisco's Double Eagle Steakhouse,"['250 Northern Ave', 'Ste 200', 'Boston, MA 02210']",T1wflZohQRZVb9SKQapfFA,3.5,1084,"{'latitude': 42.3489496, 'longitude': -71.038692}",$$$$
34,Local 149,"['149 P St', 'Boston, MA 02127']",zEel4VKJtybhJurBaHbsuw,3.5,434,"{'latitude': 42.33312, 'longitude': -71.02732}",$$
35,Hops N Scotch,"['1306 Beacon St', 'Brookline, MA 02446']",djb7jPPMwVOBfCE5K7Ilog,3.5,443,"{'latitude': 42.342624, 'longitude': -71.120666}",$$
36,Cambridge Brewing Company,"['1 Kendall Sq', 'Bldg 100', 'Cambridge, MA 02139']",Bmvu1grPzxECp7dxm8zerA,3.5,794,"{'latitude': 42.366470060263, 'longitude': -71.0913371232944}",$$
37,The Warren Tavern,"['2 Pleasant St', 'Charlestown, MA 02129']",8I2CBbVJnWS8w8OfkexE8g,4.0,484,"{'latitude': 42.37422, 'longitude': -71.06311}",$$
38,The Abbey,"['1755 Massachusetts Ave', 'Cambridge, MA 02140']",oeGGj21XtuZTTIk3wRlCOw,4.0,236,"{'latitude': 42.3851057658005, 'longitude': -71.1191113498644}",$$
39,Craigie On Main,"['853 Main St', 'Cambridge, MA 02139']",58cDJU4cub1o0o0B4h9GrA,4.0,1306,"{'latitude': 42.3634817952265, 'longitude': -71.098551}",$$$$
40,"730 Tavern, Kitchen & Patio","['730 Massachusetts Ave', 'Cambridge, MA 02139']",XE3oEdVJ2wu_J5X8TdLU-w,3.5,98,"{'latitude': 42.36591, 'longitude': -71.10514}",$$
41,Hopewell Bar & Kitchen,"['1277 Commonwealth Ave', 'Boston, MA 02134']",eTTnOUoAhbv65vcApwhTgQ,4.0,238,"{'latitude': 42.3498153686523, 'longitude': -71.1334228515625}",$$
42,The Banshee,"['934 Dorchester Ave', 'Dorchester, MA 02125']",GBsTXDvtuVSM2IC9mFQD9Q,3.5,163,"{'latitude': 42.3189697265625, 'longitude': -71.0564880371094}",$$
43,Casey's,"['171 Broadway', 'Somerville, MA 02145']",GeH-0kjRmRDkO5N6-6ySdg,4.5,46,"{'latitude': 42.3891, 'longitude': -71.0863}",$$
44,Good Life,"['28 Kingston St', 'Boston, MA 02111']",n5c-AeQYPJxIpjiuOKjxOg,3.5,357,"{'latitude': 42.353525, 'longitude': -71.05918}",$$
